2015-10-16,462,372
2015-10-17,219,176
2015-10-18,50,46
2015-10-19,106,89
2015-10-20,10,9
2015-10-21,90,68
2015-10-22,911,635
2015-10-23,556,391
2015-10-24,62,44
2015-10-25,180,143
2015-10-26,207,157
2015-10-27,34,25
2015-10-28,20,12
2015-10-30,10,7
2015-10-31,10,8
2015-11-02,181,134
2015-11-03,298,226
2015-11-04,214,173
2015-11-05,169,131
2015-11-06,148,113
2015-11-07,91,69
2015-11-08,163,125
2015-11-09,403,313
2015-11-10,201,152
2015-11-11,70,50
2015-11-12,10,9
2015-11-13,149,112
2015-11-14,46,36
2015-11-15,73,58
2015-11-16,265,195
2015-11-17,92,72
2015-11-18,71,53
2015-11-19,429,317
2015-11-20,110,86
2015-11-21,22,17
2015-11-22,73,59
2015-11-23,37,26
2015-11-24,112,89
2015-11-25,462,347
2015-11-26,156,115
2015-11-27,273,199
2015-11-28,303,217
2015-11-29,123,92
2015-11-30,698,546
2015-12-01,293,223
2015-12-02,226,174
2015-12-03,260,187
2015-12-04,188,132
2015-12-05,25,16
2015-12-06,487,348
2015-12-07,260,195
2015-12-08,160,114
2015-12-09,160,118
2015-12-10,187,132
2015-12-11,2265,1753
2015-12-12,593,458
2015-12-13,233,163
2015-12-14,101,77
2015-12-15,225,150
2015-12-16,68,41
2015-12-17,229,169
2015-12-18,89,63
